Id,Date,Game,Team,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,S%,ixG,iCF,iFF,iSCF,iHDCF,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
8475726,2022-10-13,2022-10-13 COL at CGY,CGY,10.266666666667,6,10,37.5,4,7,36.36,3,4,42.86,0,0,,0.28,0.21,56.92,4,4,50.0,0,0,,1,1,50.0,0,0,,3,3,50.0,0,0,,2,5,28.57,0,0,,0.0,100.0,1.0,2,2,2,8,50.0,3,5,4,42.86,0,0,0,0,0,,1,0.0,0.06,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
8475726,2022-10-15,2022-10-15 CGY at EDM,CGY,10.666666666667,8,11,42.11,6,6,50.0,4,5,44.44,0,1,0.0,0.29,0.37,44.2,3,6,33.33,0,1,0.0,1,2,33.33,0,1,0.0,2,4,33.33,0,0,,4,4,50.0,0,0,,0.0,80.0,0.8,3,5,2,8,60.0,3,9,3,50.0,0,0,0,0,0,,1,0.0,0.03,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0
8475726,2022-10-18,2022-10-18 VGK at CGY,CGY,7.95,9,4,69.23,7,3,70.0,4,2,66.67,0,1,0.0,0.57,0.23,71.11,5,3,62.5,0,1,0.0,4,2,66.67,0,1,0.0,1,1,50.0,0,0,,4,1,80.0,0,0,,0.0,50.0,0.5,2,3,3,7,40.0,3,5,3,50.0,0,0,0,0,0,,3,0.0,0.39,5,5,4,3,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0.0
8475726,2022-10-20,2022-10-20 BUF at CGY,CGY,13.0,15,13,53.57,13,11,54.17,12,7,63.16,1,0,100.0,0.74,0.34,68.62,8,4,66.67,1,0,100.0,1,0,100.0,0,0,,7,4,63.64,1,0,100.0,5,5,50.0,0,0,,8.33,100.0,1.083,0,3,3,11,0.0,5,3,5,50.0,0,1,0,1,1,100.0,4,0.0,0.18,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
8475726,2022-10-22,2022-10-22 CAR at CGY,CGY,12.233333333333,7,10,41.18,4,8,33.33,4,6,40.0,0,0,,0.11,0.66,14.27,2,5,28.57,0,0,,0,3,0.0,0,0,,2,2,50.0,0,0,,4,5,44.44,0,0,,0.0,100.0,1.0,0,4,1,13,0.0,0,7,2,0.0,0,0,0,0,0,,1,0.0,0.01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
8475726,2022-10-25,2022-10-25 PIT at CGY,CGY,11.533333333333001,13,15,46.43,11,9,55.0,7,5,58.33,1,0,100.0,0.8,0.69,53.62,7,6,53.85,1,0,100.0,3,4,42.86,1,0,100.0,4,2,66.67,0,0,,3,6,33.33,0,0,,14.29,100.0,1.143,4,2,3,12,57.14,9,2,4,69.23,0,0,0,0,0,0.0,2,0.0,0.28,5,5,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0
8475726,2022-10-29,2022-10-29 EDM at CGY,CGY,12.333333333333002,17,8,68.0,12,7,63.16,8,3,72.73,0,1,0.0,0.81,0.23,77.92,7,4,63.64,0,0,,4,0,100.0,0,0,,3,4,42.86,0,0,,10,3,76.92,0,1,0.0,0.0,66.67,0.667,6,2,3,9,66.67,11,4,3,78.57,0,0,0,0,0,,2,0.0,0.15,4,4,2,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0.0
8475726,2022-11-01,2022-11-01 SEA at CGY,CGY,11.8,16,13,55.17,11,7,61.11,8,6,57.14,2,1,66.67,0.48,0.34,58.7,5,5,50.0,1,1,50.0,1,1,50.0,0,0,,4,4,50.0,1,1,50.0,8,6,57.14,1,0,100.0,25.0,83.33,1.083,3,0,1,13,75.0,9,2,4,69.23,1,1,1,0,2,100.0,3,33.33,0.2,5,4,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0
8475726,2022-11-03,2022-11-03 NSH at CGY,CGY,12.466666666666999,17,12,58.62,13,8,61.9,7,7,50.0,0,1,0.0,0.77,0.57,57.5,8,6,57.14,0,1,0.0,4,1,80.0,0,1,0.0,4,5,44.44,0,0,,7,6,53.85,0,0,,0.0,85.71,0.857,4,4,0,8,100.0,5,7,4,55.56,0,0,0,0,0,,4,0.0,0.32,7,6,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
8475726,2022-11-05,2022-11-05 N.J at CGY,CGY,12.816666666666999,15,9,62.5,11,8,57.89,8,4,66.67,1,0,100.0,0.66,0.45,59.38,5,6,45.45,1,0,100.0,3,2,60.0,1,0,100.0,2,4,33.33,0,0,,9,2,81.82,0,0,,12.5,100.0,1.125,4,2,1,12,80.0,9,5,3,75.0,0,1,0,1,1,100.0,2,0.0,0.12,3,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
