,stat,has_points normal test,no_points normal test,variance test,ttest,mannwhitneyu
1,CF,2.0536286130253175e-107,3.3955254047693805e-41,0.45612862305927393,8.040798133658581e-83,2.2339867713090736e-84
2,FF,9.379605378792898e-93,1.301027446126478e-24,0.42207555694830823,7.949327043465262e-87,2.2465829158575134e-87
4,GF,0.0,2.5140438310202787e-137,7.54034293994055e-09,9.325872251022014e-25,1.2606308412972697e-22
26,Goals,0.0,0.0,3.283823656746793e-10,3.283823656808101e-10,2.5565498898219522e-09
9,HDCA,0.0,1.783498854538559e-102,0.06647488763680193,3.030229570007324e-18,1.942858400396558e-19
8,HDCF,0.0,2.4718504377700474e-147,0.002181159942635213,9.884780721489764e-45,2.3878516752178802e-45
10,HDCF%,3.700541967239598e-21,7.496209184077806e-10,2.2924448268678134e-07,5.215405613348769e-09,6.751856515456976e-09
11,HDGF,0.0,4.303114587780275e-251,0.073911991523249,1.4097101626153826e-08,2.657344009196522e-07
19,LDCA,2.3220078557505475e-120,2.146646038292514e-56,0.6892685777940915,9.281661665388937e-10,6.403537089061471e-10
18,LDCF,5.999868737746378e-154,7.328956134013354e-108,0.010982177386014898,2.6400985914656694e-48,1.4332496030013597e-44
20,LDCF%,0.0597200792294313,0.6180372956923799,0.0074126459731401065,7.518305141705414e-11,3.3583723193459706e-10
22,LDGA,0.0,0.0,0.11731374128067054,0.11731374128305586,0.19372502821596826
21,LDGF,0.0,0.0,0.00014032277355015318,0.0001403227735527335,0.00061764222593453
23,LDGF%,0.0,0.0,0.0014754761081554883,0.0014754761081815218,0.0012251090292375146
13,MDCA,3.6209835931623482e-149,7.375387497007235e-53,0.7328821075343156,1.6510541734512823e-20,4.47975993741931e-21
12,MDCF,9.076147285401608e-197,3.3401748082305906e-53,0.08565268559307616,3.0331231445690027e-65,4.206555389811291e-68
14,MDCF%,0.0005018534127237074,0.017629209954218798,1.7493581529724812e-07,2.310859394947886e-11,1.3653975635261837e-10
16,MDGA,0.0,0.0,0.0006884342514277046,0.0006884342514395111,0.0010667437601518642
15,MDGF,0.0,0.0,1.3405321566098826e-18,1.3405321566334388e-18,4.026304189228311e-16
17,MDGF%,0.0,5.746166738444737e-236,1.381648689696796e-13,1.3816486897214843e-13,1.1588445223291174e-13
25,Off. Zone Starts,1.2368389745562251e-222,1.6906995413736282e-79,0.5014551907531568,1.0571334643298178e-40,6.113709255582961e-42
24,On-Ice SH%,0.0,0.0,0.2142682186539918,0.0009957121063444397,6.446179644048925e-06
30,S%,0.0,0.0,7.251876657756615e-05,7.251876657878054e-05,5.178910976953246e-07
6,SCF,1.5374976363995792e-199,4.119305820406616e-63,0.4367550630560093,1.7636310805253606e-76,5.953431783845589e-81
7,SCGF,0.0,5.377375138649081e-168,2.074523643390374e-11,4.110982944719497e-22,1.1816605972080518e-20
3,SF,4.076986516890218e-105,2.6086940695137804e-28,0.09402428147388821,1.0289587334467243e-81,7.871458047370036e-83
29,Shots,0.0,8.0506206619066e-176,1.2555767130208108e-09,1.3855795843356471e-39,1.1176832422772404e-38
0,TOI,9.329238782370619e-30,7.657383754672595e-28,3.594960119286687e-17,1.99286941351533e-92,4.175296052673206e-90
27,Total Assists,0.0,0.0,9.941739760544816e-14,9.941739760726787e-14,2.282284568022325e-12
28,Total Points,0.0,2.3045440922206392e-220,1.1851710593119842e-10,4.282499969780618e-22,3.483084367267704e-18
32,iCF,0.0,2.575362964318405e-167,6.886612514500044e-07,5.922413826644403e-49,1.1788359782773835e-47
33,iFF,0.0,1.2773278262436853e-136,2.0020735216243847e-06,4.198081707863501e-45,4.1677530232157525e-43
35,iHDCF,0.0,4.122654284815726e-309,0.0010369436767281217,3.382303190491607e-17,1.2105987205749813e-16
34,iSCF,0.0,1.1165307940096544e-173,0.0009569518670477408,3.5733827383785944e-39,2.0840630269985412e-39
31,ixG,0.0,1.9412883807413154e-283,0.015477000079028145,1.3518098192470005e-28,2.8528684874105615e-31
5,xGF,1.6428293601825388e-277,1.5376893743314369e-102,0.14662748457599017,1.7307048781647516e-67,1.9659138578304183e-71
