,id,position,firstName,lastName,Expected Shots
357,8479385,C,Jordan,Kyrou,4.1364745222347254
233,8478414,R,Timo,Meier,3.900875850758398
371,8476453,R,Nikita,Kucherov,3.8105930401635972
189,8477960,R,Adrian,Kempe,3.7003443549365826
238,8475726,C,Tyler,Toffoli,3.647630947259945
155,8477998,L,Warren,Foegele,3.4771925963712875
313,8477404,L,Jake,Guentzel,3.4001449871096274
145,8478432,R,Christian,Fischer,3.32518818162298
343,8476881,C,Tomas,Hertl,3.2341519960541905
275,8478550,L,Artemi,Panarin,3.206037857200961
421,8478398,L,Kyle,Connor,3.093264628433706
182,8478042,R,Viktor,Arvidsson,3.026845294419484
379,8477479,L,Tyler,Bertuzzi,2.990691726924993
179,8479314,L,Matthew,Tkachuk,2.9790134587797343
9,8482745,C,Mason,McTavish,2.8964943595159673
287,8478472,R,Mathieu,Joseph,2.8784656806467583
70,8480830,R,Andrei,Svechnikov,2.849829397353913
167,8477493,C,Aleksander,Barkov,2.8388802032671108
163,8478402,C,Connor,McDavid,2.8340327759439856
439,8481580,C,Connor,McMichael,2.7650303611176006
430,8476460,C,Mark,Scheifele,2.758671352016206
311,8471675,C,Sidney,Crosby,2.7516851682034633
138,8475225,C,Craig,Smith,2.7491560070623255
119,8477492,C,Nathan,MacKinnon,2.7371176633668584
308,8480015,R,Owen,Tippett,2.731345230193741
66,8476921,L,Jordan,Martinook,2.6893553249267637
391,8475166,C,John,Tavares,2.6774558787529905
101,8484144,C,Connor,Bedard,2.67137512445057
180,8477409,C,Carter,Verhaeghe,2.649040750268749
312,8474189,C,Lars,Eller,2.644691586448196
386,8479318,C,Auston,Matthews,2.5948764301320106
274,8482109,L,Alexis,Lafrenière,2.591697725456964
249,8480748,L,Kiefer,Sherwood,2.584168720167581
302,8482159,R,Tyson,Foerster,2.5458631642152674
158,8482077,L,Dylan,Holloway,2.5248554554246025
267,8480789,R,Oliver,Wahlstrom,2.4706987643936635
202,8477451,R,Ryan,Hartman,2.459527728374129
196,8481557,L,Matt,Boldy,2.4558711678558502
387,8482259,C,Bobby,McMann,2.3976720121493824
86,8474150,C,Mikael,Backlund,2.390844586509154
58,8477949,R,Alex,Tuch,2.3791509065161254
419,8478891,C,Mason,Appleton,2.3757630639660676
96,8481028,C,Martin,Pospisil,2.3655741898650113
54,8482175,R,JJ,Peterka,2.344611401199374
241,8476887,L,Filip,Forsberg,2.3312880811445216
406,8478020,R,Michael,Amadio,2.307978126451616
293,8482116,C,Tim,Stützle,2.296862609793607
254,8478445,C,Mathew,Barzal,2.277174881593572
115,8479525,C,Ross,Colton,2.275172458744784
32,8478498,L,Jake,DeBrusk,2.2721719195532573
273,8475184,L,Chris,Kreider,2.256073590775084
125,8479362,L,Riley,Tufte,2.2332398172483905
28,8475722,L,Jason,Zucker,2.1963664781164476
281,8480208,R,Drake,Batherson,2.1943425238272023
39,8477956,R,David,Pastrnak,2.18837790102584
408,8477478,L,William,Carrier,2.185795344594831
