Player,Yahoo Roster Percentage(%),Prediction,Truth
Jordan Kyrou,77,4.136474522,2
Timo Meier,91,3.900875851,4
Nikita Kucherov,100,3.81059304,4
Adrian Kempe,94,3.700344355,3
Tyler Toffoli,92,3.647630947,2
Warren Foegele,1,3.477192596,2
Jake Guentzel,95,3.400144987,2
Christian Fischer,0,3.325188,5
Tomas Hertl,37,3.234151996,4
Artemi Panarin,99,3.206037857,8
Kyle Connor,99,3.093264628,2
Tyler Bertuzzi,26,2.990691727,2
Matthew Tkachuk,100,2.979013459,2
Mason McTavish,78,2.89649436,4
Mathieu Joseph,9,2.878465681,3
Andrei Svechnikov,84,2.849829397,0
Aleksander Barkov,94,2.838880203,6
Connor McDavid,100,2.834032776,2
Connor McMichael,1,2.765030361,2
