id,position,firstName,lastName
8484153,C,Leo,Carlsson
8475842,C,Sam,Carrick
8480870,C,Bo,Groulx
8474641,C,Adam,Henrique
8477527,L,Ross,Johnston
8479368,L,Max,Jones
8473986,L,Alex,Killorn
8481517,R,Brett,Leason
8476934,L,Brock,McGinn
8482745,C,Mason,McTavish
8475164,R,Jakob,Silfverberg
8476458,C,Ryan,Strome
8478873,R,Troy,Terry
8478366,R,Frank,Vatrano
8481533,C,Trevor,Zegras
8475760,C,Nick,Bjugstad
8476329,C,Travis,Boyd
8479619,L,Michael,Carcone
8483431,C,Logan,Cooley
8478474,L,Lawson,Crouse
8480849,C,Barrett,Hayton
8479343,R,Clayton,Keller
8477021,C,Alex,Kerfoot
8481711,L,Matias,Maccelli
8480855,C,Jack,McBain
8477070,C,Liam,O'Brien
8477482,L,Zach,Sanford
8477951,C,Nick,Schmaltz
8475722,L,Jason,Zucker
8481556,C,John,Beecher
8477887,C,Patrick,Brown
8475745,C,Charlie,Coyle
8478498,L,Jake,DeBrusk
8479365,C,Trent,Frederic
8479987,C,Morgan,Geekie
8478046,C,Danton,Heinen
8480880,C,Jakub,Lauko
8473473,L,Milan,Lucic
8473419,L,Brad,Marchand
8477956,R,David,Pastrnak
8483505,C,Matthew,Poitras
8479546,C,Oskar,Steen
8478401,C,Pavel,Zacha
8474037,L,James,van Riemsdyk
8484145,L,Zach,Benson
8482061,L,Brandon,Biro
8481528,C,Dylan,Cozens
8476878,L,Zemgus,Girgensons
8478413,L,Jordan,Greenway
8479370,C,Tyson,Jost
8481522,C,Peyton,Krebs
8479999,C,Casey,Mittelstadt
8473449,R,Kyle,Okposo
8478109,L,Victor,Olofsson
8482175,R,JJ,Peterka
8481751,R,Lukas,Rousek
8475784,L,Jeff,Skinner
8479420,C,Tage,Thompson
8477949,R,Alex,Tuch
8478427,C,Sebastian,Aho
8478047,L,Michael,Bunting
8480835,C,Jack,Drury
8475855,R,Jesper,Fast
8482093,C,Seth,Jarvis
8480829,C,Jesperi,Kotkaniemi
8477962,L,Brendan,Lemieux
8476921,L,Jordan,Martinook
8480039,C,Martin,Necas
8476474,R,Stefan,Noesen
8473533,C,Jordan,Staal
8480830,R,Andrei,Svechnikov
8476882,L,Teuvo,Teravainen
8480205,R,Emil,Bemstrom
8482475,R,Yegor,Chinakhov
8479941,R,Justin,Danforth
8484166,C,Adam,Fantilli
8476346,L,Johnny,Gaudreau
8476432,C,Boone,Jenner
8476374,C,Sean,Kuraly
8479339,L,Patrik,Laine
8480893,R,Kirill,Marchenko
8479671,R,Mathieu,Olivier
8478458,C,Jack,Roslovic
8482705,C,Cole,Sillinger
8480074,C,Alexandre,Texier
8481716,L,Dmitri,Voronkov
8474150,C,Mikael,Backlund
8476399,C,Blake,Coleman
8479346,C,Dillon,Dube
8482652,R,Walker,Duehr
8478421,L,A.J.,Greer
8476456,C,Jonathan,Huberdeau
8475172,C,Nazem,Kadri
8477496,C,Elias,Lindholm
8478233,L,Andrew,Mangiapane
8481592,L,Jakob,Pelletier
8481028,C,Martin,Pospisil
8480008,C,Adam,Ruzicka
8481068,C,Yegor,Sharangovich
8482074,C,Connor,Zary
8476960,C,Andreas,Athanasiou
8484144,C,Connor,Bedard
8477450,C,Jason,Dickinson
8477987,C,Ryan,Donato
8480025,R,MacKenzie,Entwistle
8473422,L,Nick,Foligno
8475791,L,Taylor,Hall
8474870,C,Tyler,Johnson
8481147,C,Reese,Johnson
8479383,L,Boris,Katchouk
8480798,C,Philipp,Kurashev
8470621,R,Corey,Perry
8479390,R,Taylor,Raddysh
8482117,L,Lukas,Reichel
8471699,C,Andrew,Cogliano
8479525,C,Ross,Colton
8477494,L,Jonathan,Drouin
8475793,C,Ryan,Johansen
8477476,L,Artturi,Lehkonen
8477492,C,Nathan,MacKinnon
8477501,R,Valeri,Nichushkin
8481186,R,Logan,O'Connor
8478028,L,Fredrik,Olofsson
8478420,R,Mikko,Rantanen
8475193,L,Tomas,Tatar
8479362,L,Riley,Tufte
8477425,L,Miles,Wood
8473994,L,Jamie,Benn
8474149,R,Evgenii,Dadonov
8480848,C,Ty,Dellandrea
8475168,C,Matt,Duchene
8476889,C,Radek,Faksa
8478449,C,Roope,Hintz
8482740,C,Wyatt,Johnston
8478975,L,Mason,Marchment
8470794,C,Joe,Pavelski
8480027,L,Jason,Robertson
8475794,C,Tyler,Seguin
8475225,C,Craig,Smith
8479351,C,Sam,Steel
8477456,L,J.T.,Compher
8477429,C,Andrew,Copp
8478512,C,Austin,Czarnik
8479337,R,Alex,DeBrincat
8477952,C,Robby,Fabbri
8478432,R,Christian,Fischer
8480011,C,Klim,Kostin
8477946,C,Dylan,Larkin
8474102,L,David,Perron
8479992,C,Michael,Rasmussen
8482078,L,Lucas,Raymond
8478466,R,Daniel,Sprong
8480813,C,Joe,Veleno
8477015,R,Connor,Brown
8477934,C,Leon,Draisaitl
8477998,L,Warren,Foegele
8474040,C,Sam,Gagner
8480468,L,James,Hamblin
8482077,L,Dylan,Holloway
8475786,L,Zach,Hyman
8477406,C,Mattias,Janmark
8475169,L,Evander,Kane
8481534,C,Raphael,Lavoie
8478402,C,Connor,McDavid
8480802,C,Ryan,McLeod
8476454,C,Ryan,Nugent-Hopkins
8478585,C,Derek,Ryan
8477493,C,Aleksander,Barkov
8477935,C,Sam,Bennett
8476393,C,Nick,Cousins
8479981,L,Jonah,Gadjovich
8479367,R,William,Lockwood
8479066,L,Ryan,Lomberg
8478904,C,Steven,Lorentz
8482113,C,Anton,Lundell
8480185,C,Eetu,Luostarinen
8477933,C,Sam,Reinhart
8478542,C,Evan,Rodrigues
8478831,C,Kevin,Stenlund
8479314,L,Matthew,Tkachuk
8477409,C,Carter,Verhaeghe
8479994,C,Jaret,Anderson-Dolan
8478042,R,Viktor,Arvidsson
8482124,R,Quinton,Byfield
8476479,C,Phillip,Danault
8479400,C,Pierre-Luc,Dubois
8477942,L,Kevin,Fiala
8479336,R,Carl,Grundstrom
8481560,R,Arthur,Kaliyev
8477960,R,Adrian,Kempe
8471685,C,Anze,Kopitar
8482155,R,Alex,Laferriere
8481732,L,Andre,Lee
8473453,C,Trevor,Lewis
8481481,C,Blake,Lizotte
8479675,L,Trevor,Moore
8481557,L,Matt,Boldy
8480980,C,Connor,Dewar
8479520,R,Brandon,Duhaime
8478493,C,Joel,Eriksson Ek
8475220,L,Marcus,Foligno
8477919,C,Frederick,Gaudreau
8477451,R,Ryan,Hartman
8475149,C,Marcus,Johansson
8478864,L,Kirill,Kaprizov
8479968,C,Vinni,Lettieri
8474034,L,Pat,Maroon
8477464,C,Nic,Petan
8482079,C,Marco,Rossi
8475692,R,Mats,Zuccarello
8476981,R,Josh,Anderson
8476469,R,Joel,Armia
8481540,R,Cole,Caufield
8481523,C,Kirby,Dach
8477989,C,Christian,Dvorak
8478133,C,Jake,Evans
